study,dataset,version,variable,label,Filter
soep-core,biosoc,v35,bszaja,"Formal Training Certificate, Uni. Degree",
soep-core,biosoc,v35,bszaleh,Completed Apprenticeship,
soep-core,biosoc,v35,bszabfs,Full-Time Vocation School,
soep-core,biosoc,v35,bszafsc,Higher Level Trade And Technical School,
soep-core,biosoc,v35,bszabea,Civil Servant Training,
soep-core,biosoc,v35,bszabak,Accredited Career Training Academy,
soep-core,biosoc,v35,bszafh,Engineering School,
soep-core,biosoc,v35,bszauni,University,
soep-core,biosoc,v35,bsdigel,"Military, Community Service",
soep-core,biosoc,v35,bsdiart,Type Of Service,
soep-core,biosoc,v35,bsdigru,"Reason For Not Doing Military, Community Service",
soep-core,biosoc,v35,bsfsj,Voluntary Social Year,
soep-core,biosoc,v35,bsbfd,Federal Vol Srvc (since 2012),
soep-core,biosoc,v35,bsfwd,Vol Military Srvc (since 2012),
soep-core,biosoc,v35,bsinta,Survey Instrument,
soep-core,biopupil,v35,cid,Original household number,
soep-core,biopupil,v35,hid,Current wave HH number,
soep-core,biopupil,v35,syear,Survey year,
soep-core,biopupil,v35,hhnrakt,Current wave HH number,
soep-core,biopupil,v35,pid,Unchanging personal ID of child,
soep-core,biopupil,v35,bioage,Bioage data set,
soep-core,biopupil,v35,mode,Form of questionning,
soep-core,biopupil,v35,frndsresh,Number of close friends living in country of origin,
soep-core,biopupil,v35,frndsresg,Number of close friends living in Germany,
soep-core,biopupil,v35,frndsreso,Number of close friends living in other country,
soep-core,biopupil,v35,frndsorigg,Number of friends coming from Germany,
soep-core,biopupil,v35,frndsorigh,Number of friends coming from country of origin,
soep-core,biopupil,v35,frndsorigo,Number of friends coming from other country,
soep-core,biopupil,v35,frndspar,Frequency parents influence circle of friends,
soep-core,biopupil,v35,siblings,Has older siblings,
soep-core,biopupil,v35,siblatscl1,Older siblings enrolled in school in Germany,
soep-core,biopupil,v35,freetime1,Spend time with persons of country of origin,
soep-core,biopupil,v35,freetime2,Spend time with Germans,
soep-core,biopupil,v35,freetime3,Spend time with persons of other countries,
soep-core,biopupil,v35,religion1,"Church, religious community, denomination",
soep-core,biopupil,v35,religion2,Which Christian religious organisation,
soep-core,biopupil,v35,religion3,Which Islamic denomination,
soep-core,biopupil,v35,religion4,Religion is important for well-being and satisfaction,
soep-core,biopupil,v35,religion5,Frequency praying,
soep-core,biopupil,v35,lbirthstm,Left country of birth month,
soep-core,biopupil,v35,lbirthsty,Left country of birth year,
soep-core,biopupil,v35,arrivem,Arrived in Germany month,
soep-core,biopupil,v35,arrivey,Arrived in Germany year,
soep-core,biopupil,v35,imcom,Came to Germany with whom,
soep-core,biopupil,v35,attachh,Connected with country of origin,
soep-core,biopupil,v35,miss,Missing people from country of origin,
soep-core,biopupil,v35,pastpos,Thinking of positive experiences before migration,
soep-core,biopupil,v35,pastneg,Thinking of negative experiences before migration,
soep-core,biopupil,v35,welcp,Welcomed upon arrival in Germany,
soep-core,biopupil,v35,welcnow,Welcome in Germany today,
soep-core,biopupil,v35,gstay,Can imagine to stay in Germany,
soep-core,biopupil,v35,spvers,Language version,
